"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","136","700 Taylor Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1097,805,1493
"186","20001, Northwest Washington, Washington","137","1700 Willard Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",680,473,976
"186","20001, Northwest Washington, Washington","138","500 8th Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",594,399,883
"186","20001, Northwest Washington, Washington","139","1400 Southeast Boulevard, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",571,381,854
"186","20001, Northwest Washington, Washington","140","400 14th Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",762,541,1073
"186","20001, Northwest Washington, Washington","141","600 Nicholson Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1502,1137,1982
"186","20001, Northwest Washington, Washington","142","100 Ingraham Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1259,917,1727
"186","20001, Northwest Washington, Washington","143","800 Delafield Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1430,1087,1879
"186","20001, Northwest Washington, Washington","144","1700 19th Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",674,474,957
"186","20001, Northwest Washington, Washington","145","1100 Varney Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1420,1035,1947
"186","20001, Northwest Washington, Washington","146","3800 8th Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1232,867,1749
"186","20001, Northwest Washington, Washington","147","3400 17th Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1120,832,1506
"186","20001, Northwest Washington, Washington","148","1400 Ogden Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1109,821,1497
"186","20001, Northwest Washington, Washington","149","1400 Irving Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",952,689,1314
"186","20001, Northwest Washington, Washington","150","1200 13th Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",302,177,512
"186","20001, Northwest Washington, Washington","151","100 3rd Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",546,390,763
"186","20001, Northwest Washington, Washington","152","600 Acker Place Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",662,486,900
"186","20001, Northwest Washington, Washington","153","900 10th Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",753,538,1052
"186","20001, Northwest Washington, Washington","154","200 M Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",511,334,781
"186","20001, Northwest Washington, Washington","155","100 T Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",701,491,998
"186","20001, Northwest Washington, Washington","156","100 13th Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",892,651,1222
"186","20001, Northwest Washington, Washington","157","300 U Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",661,410,1063
"186","20001, Northwest Washington, Washington","158","300 Burbank Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1266,921,1740
"186","20001, Northwest Washington, Washington","159","1100 45th Place Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1473,1084,2001
"186","20001, Northwest Washington, Washington","160","500 42nd Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1234,856,1776
"186","20001, Northwest Washington, Washington","161","4900 Eads Place Northeast, Lincoln Heights, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1338,933,1918
"186","20001, Northwest Washington, Washington","162","800 Washburn Arts Center, Florida Avenue Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",724,467,1122
"186","20001, Northwest Washington, Washington","163","1300 Mount Olivet Road Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",916,632,1326
"186","20001, Northwest Washington, Washington","164","1700 Lang Place Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1028,755,1398
"186","20001, Northwest Washington, Washington","165","800 21st Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1020,755,1377
"186","20001, Northwest Washington, Washington","166","1300 Orren Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",840,589,1197
"186","20001, Northwest Washington, Washington","167","4100 1st Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1113,790,1567
"186","20001, Northwest Washington, Washington","168","1800 E Street Northeast, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",494,308,791
"186","20001, Northwest Washington, Washington","169","Meadow Road Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1053,709,1562
"186","20001, Northwest Washington, Washington","170","900 Brentwood Road Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",846,533,1340
"186","20001, Northwest Washington, Washington","171","4200 4th Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1273,905,1790
"186","20001, Northwest Washington, Washington","172","700 55th Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1432,1016,2017
"186","20001, Northwest Washington, Washington","173","4500 45th Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1432,1098,1866
"186","20001, Northwest Washington, Washington","174","Massachusetts-39th Trail, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1243,944,1636
"186","20001, Northwest Washington, Washington","175","2100 Lincoln Road Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",768,544,1083
"186","20001, Northwest Washington, Washington","176","4800 Meade Street Northeast, Deanwood, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1326,921,1907
